COORD_X,COORD_Y,PRECIO_OFERTA,PRECIO_INTEGRAL,ESTRATO,UPZ,TIPO_INMUEBLE,BAÑOS,COCINAS,ALCOBAS,UBICACION_LOTE,INFLUENCIA_VIA,AREA,DIST_SALUD,DIST_CAI,DIST_EDU,DIST_VIA
96973.385,115136.464,28000000.000,522875.817,2,11,0,2,1,3,4,1,53.55,1717.484171,1521.76881,374.6926119,748.0411016
96954.066,115265.052,35000000.000,653594.771,2,11,0,2,1,3,4,1,53.55000002,1586.840139,1391.124777,317.1699103,878.685154
98179.019,115301.246,60000000.000,239043.825,3,10,1,1,1,4,2,1,250.9999997,1287.629918,415.9030539,235.1970978,802.849776
97836.812,115029.918,80000000.000,469208.211,2,10,1,2,2,6,2,1,170.5000001,1074.671841,263.3421911,141.3615005,734.0561072
98055.261,115329.63,95000000.000,341849.586,3,10,1,1,1,3,1,1,277.9000001,1350.84501,293.1068301,236.4124953,675.9698038
98210.108,115481.197,58000000.000,311493.018,3,10,1,2,2,8,1,1,186.2000002,1500.547437,595.3374603,71.28072685,878.5730771
98119.854,115711.883,48000000.000,272108.844,3,10,1,2,2,7,7,1,176.3999997,1691.076829,703.696859,114.4506137,764.1655671
98298.664,115842.86,37000000.000,588235.294,3,10,0,2,1,3,4,2,62.90000001,1413.602814,938.1074385,150.8102001,558.0461871
98275.619,115825.301,31000000.000,287569.573,3,10,1,2,2,5,2,1,107.8000001,1429.623323,922.0869296,134.7896912,574.0667099
98256.259,115729.564,52000000.000,328697.851,3,10,1,2,2,6,2,1,158.1999999,1507.798748,842.5912817,241.9041553,652.2421767
98353.117,115768.762,42000000.000,680713.128,3,10,1,1,1,3,2,1,61.7,1380.1996,928.3062818,258.1230065,524.6430587
98294.129,114910.955,58500000.000,340314.136,2,10,1,2,2,6,2,1,171.9000001,714.8334819,834.7439427,25.77342432,1182.463489
98474.243,114775.139,83700000.000,318372.005,2,10,1,1,1,3,2,1,262.8999996,531.6260248,860.4947694,239.1953018,1241.786738
98465.505,114758.284,81000000.000,363718.006,2,10,1,1,1,6,2,1,222.7000002,512.6406791,841.5094237,220.2099561,1222.801392
97019.238,114471.575,63000000.000,252707.581,2,11,1,3,2,6,2,1,249.3000002,1772.465418,2384.844228,502.2202678,685.6196017
97018.602,114579.767,57000000.000,515837.104,2,11,1,2,1,4,2,1,110.5,1719.940355,2489.154081,335.2742285,633.0944996
97069.138,114694.044,25000000.000,968992.248,2,11,1,1,1,1,1,1,25.8,1589.249553,2428.465142,315.8346575,502.403717
